epoch,train_loss,train_ce_loss,train_consistency_loss,train_auxiliary_preservation_loss,train_auxiliary_residual_consistency_loss,train_auxiliary_gate_supervision_loss,train_representation_contrastive_loss,train_representation_bilaterality_loss,validation_auxiliary_preservation_loss,validation_auxiliary_consistency_loss,validation_auxiliary_gate_target_mean,validation_auxiliary_gate_nontarget_mean,validation_auxiliary_gate_supervision_loss,validation_representation_alignment_loss,validation_representation_class_margin,validation_representation_bilaterality_balanced_accuracy,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4185928745622989,1.4185928745622989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.014771324938182019,-5.891995131109791e-05,0.5,0.2500540806293019,0.2570323937506828,0.0008712622220627964,0.24,6.450892358088527e-06
2.0,1.4090489429897732,1.4090489429897732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.013294572428881159,-5.233574543927243e-05,0.5,0.25,0.2507423795476893,0.0006619442719966173,0.025555555555555557,1.6722788633201854e-05
3.0,1.4141038423114354,1.4141038423114354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.011871033498562054,-5.187406560819409e-05,0.5,0.25555555555555554,0.2537037037037037,0.0005433327169157565,0.057777777777777775,3.3002647113295634e-05
4.0,1.4185789401442916,1.4185789401442916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.012795768191704724,-6.376702911093984e-05,0.5,0.2622916666666667,0.2676273148148148,0.0010886569507420063,0.12777777777777777,5.880448399262659e-05
5.0,1.3194350993191755,1.3194350993191755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.020004473889281265,0.0005909313784555639,0.49987654320987657,0.5056861479842675,0.4444173407235723,0.027545802295207977,0.6722222222222223,9.969763961567034e-05
6.0,1.2393012394728484,1.2393012394728484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.018387792883037254,0.002865711907673676,0.5,0.5732949676920915,0.5063796169483854,0.03644583374261856,0.6588888888888889,9.969763961567034e-05
7.0,1.1383741965117278,1.1383741965117278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.024324958664669393,0.005212388803327084,0.4955555555555555,0.5841984478157044,0.505644285246055,0.05390847474336624,0.6655555555555556,9.969763961567034e-05
8.0,1.0928196725138912,1.0928196725138912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.025539533219773643,0.007283792229361275,0.4996296296296296,0.6255675393313668,0.5476346357946653,0.06604546308517456,0.6544444444444445,9.969763961567034e-05
9.0,1.0313357450343945,1.0313357450343945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0215684475901114,0.007289938216259198,0.5011111111111112,0.5765337916139908,0.4977812456103385,0.06017081439495087,0.5344444444444445,9.969763961567034e-05
10.0,0.9901867734061347,0.9901867734061347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.026243131168007066,0.008839597953583429,0.5098765432098765,0.6222287189211968,0.5415021275225921,0.07889460027217865,0.6488888888888888,9.969763961567034e-05
11.0,0.9647293612692092,0.9647293612692092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.03150570838335028,0.012063414921150428,0.5077777777777778,0.6289496857002388,0.5534389827300963,0.09687480330467224,0.6455555555555555,9.969763961567034e-05
12.0,0.9376631985770332,0.9376631985770332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.029548843844664642,0.01149085570994654,0.5164197530864197,0.6266587213794073,0.55608075416335,0.09064942598342896,0.6566666666666666,9.969763961567034e-05
13.0,0.8973954546893085,0.8973954546893085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.03512714947720122,0.013102434099338891,0.508888888888889,0.5998738850259868,0.5126044836977728,0.10152573138475418,0.6333333333333333,9.969763961567034e-05
14.0,0.8818231615313777,0.8818231615313777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.03999589504680364,0.013726075674482776,0.5254320987654321,0.6201792298777918,0.5413839334488303,0.1100965291261673,0.6433333333333333,9.969763961567034e-05
15.0,0.8500172272434942,0.8500172272434942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.03516908008893224,0.011830379049779063,0.5162962962962963,0.6088654042000281,0.5521449300385509,0.09900183975696564,0.6355555555555555,9.969763961567034e-05
16.0,0.8364131337625009,0.8364131337625009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.042278835286869744,0.01583860303556839,0.5175308641975309,0.6312264275179098,0.559425256746422,0.11496679484844208,0.6488888888888888,9.969763961567034e-05
17.0,0.8252524209022521,0.8252524209022521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.046954409433648515,0.015826729086235353,0.5207407407407407,0.6075669423374069,0.5442106218101793,0.1167733371257782,0.6211111111111111,9.969763961567034e-05
18.0,0.7993417798148261,0.7993417798148261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.04799307262628605,0.016708831094030485,0.5237037037037037,0.6377551710212108,0.5691631256730815,0.12174944579601288,0.6533333333333333,9.969763961567034e-05
19.0,0.7784042433456139,0.7784042433456139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05064649467651916,0.014990491682718557,0.5211111111111111,0.6078443689422672,0.534830315197203,0.1168927401304245,0.6555555555555556,9.969763961567034e-05
20.0,0.7611624443972552,0.7611624443972552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.06437191631000101,0.020711775149155065,0.5311111111111111,0.6222133990026689,0.5580985449735449,0.1367100477218628,0.6555555555555556,9.969763961567034e-05
